,ds,yhat,yhat_lower,yhat_upper,total_sales
583,2021-05-12,18957.65433591503,13510.0092959241,25066.79242024998,9732.06
584,2021-05-13,19875.14023241933,14044.54106705494,25512.2560321172,12944.33
585,2021-05-14,21636.42055976692,16208.544254555589,27512.966580133707,9271.09
586,2021-05-15,23370.436498091243,17353.84444826465,28810.85887936597,12654.48
587,2021-05-16,18848.189840685605,13091.86753630943,24403.46815162404,12629.03
588,2021-05-17,17784.020876790026,12356.694584104467,23440.572532788003,14716.5
589,2021-05-18,16892.703858382058,11075.951865095662,22789.171530501782,16425.05
590,2021-05-19,16689.735038815597,11255.736191275855,22108.868994829954,9728.25
591,2021-05-20,17481.677214839274,11171.263619535845,23287.17685498026,9968.13
592,2021-05-21,19157.751891065574,13525.463107597525,25297.98246016625,12101.35
593,2021-05-22,20849.55896748457,14810.112727573587,26852.44238077912,7928.19
594,2021-05-23,16329.84970428158,10196.836477190582,22206.858825701645,13855.26
595,2021-05-24,15313.74009690275,9307.774138386922,20687.111995584608,14967.98
596,2021-05-25,14515.765609368753,8822.215551319106,20552.063555019213,20136.06
597,2021-05-26,14450.15383224477,8829.209312315565,20189.396515616754,13246.21
598,2021-05-27,15421.179894618324,9798.539613721898,20830.89113987984,12090.55
599,2021-05-28,17314.7959309753,11358.612632403288,22757.85691545406,7869.59
600,2021-05-29,19258.4139529603,13302.136426626788,24888.483989660395,12468.57
601,2021-05-30,15019.766602444146,9708.568948155027,20974.112693433264,10574.44
602,2021-05-31,14308.230939762268,8390.34956941433,20380.29604381561,13600.03
603,2021-06-01,13832.013582030784,7879.137528747396,19294.48859524589,21835.87
604,2021-06-02,14098.570536647254,8360.896250703987,19871.462375792205,7916.25
